Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Date
Animal,Dog,Fencing Issues,BRACKEN RIDGE,2018-05-01
Animal,Attack,Attack On An Animal,COORPAROO,2018-05-01
Animal,Attack,Attack On An Animal,BARDON,2018-05-01
Animal,Other Animal,Nuisance Animal,AUCHENFLOWER,2018-05-01
Animal,Attack,,CARINA HEIGHTS,2018-05-01
Animal,Cat,,STAFFORD HEIGHTS,2018-05-01
Animal,Dog,Fencing Issues,WYNNUM,2018-05-01
Animal,Dog,Defecating In Public,CANNON HILL,2018-05-01
Animal,Attack,Attack On An Animal,CHERMSIDE WEST,2018-05-01
Animal,Dog,Fencing Issues,WINDSOR,2018-05-01
Animal,Other Animal,,MOUNT CROSBY,2018-05-01
Animal,Cat Trapping,,WOOLLOONGABBA,2018-05-01
Animal,Dog,Fencing Issues,WILLAWONG,2018-05-01
Animal,Other Animal,Nuisance Animal,PULLENVALE,2018-05-01
Animal,Cat Trapping,,HOLLAND PARK,2018-05-01
Animal,Attack,Attack On An Animal,ASPLEY,2018-05-01
Animal,Other Animal,Nuisance Animal,WYNNUM,2018-05-01
Animal,Attack,Attack On An Animal,MANLY,2018-05-01
Animal,Attack,Attack On A Person,MOGGILL,2018-05-01
Animal,Cat Trapping,,ASPLEY,2018-05-01
Animal,Cat,,ENOGGERA,2018-05-01
Animal,Attack,Attack On An Animal,BRIGHTON,2018-05-01
Animal,Dog,Fencing Issues,WISHART,2018-05-01
Animal,Attack,,NORMAN PARK,2018-05-01
Animal,Cat Trapping,,ROBERTSON,2018-05-01
Animal,Dog,Fencing Issues,WISHART,2018-05-01
Animal,Dog,Fencing Issues,DURACK,2018-05-01
Animal,Attack,,CARINA HEIGHTS,2018-05-01
Animal,Dog,Defecating In Public,CORINDA,2018-05-01
Animal,Dog,Fencing Issues,CARINA,2018-05-01
Animal,Dog,Fencing Issues,ACACIA RIDGE,2018-05-01
Animal,Cat Trapping,,WOOLLOONGABBA,2018-05-01
Animal,Other Animal,Nuisance Animal,MOUNT GRAVATT EAST,2018-05-01
Animal,Cat Trapping,,DURACK,2018-05-01
Animal,Attack,Attack On A Person,ENOGGERA,2018-05-01
Animal,Other Animal,Fox,ROCKLEA,2018-05-01
Animal,Cat,,CARINA HEIGHTS,2018-05-01
Animal,Attack,Attack On An Animal,GUMDALE,2018-05-01
Animal,Dog,Fencing Issues,CHERMSIDE,2018-05-01
Animal,Other Animal,,CARINA,2018-05-01
Animal,Cat Trapping,,DURACK,2018-05-01
Animal,Dog,Odour,DEAGON,2018-05-01
